favorites_count,id,retweet_count
13622,792394556390137856,4348
7239,792050063153438720,1826
0,791821351946420224,21383
0,791784077045166082,9713
0,791780927877898241,3877
45697,791774931465953280,22479
11896,791672322847637504,3179
13303,791406955684368384,4168
8903,791312159183634433,2571
0,791026214425268224,4161
9939,790987426131050500,2166
16849,790946055508652032,4753
0,790723298204217344,2344
8324,790698755171364864,1950
20897,790581949425475584,7242
7930,790337589677002753,1909
12722,790277117346975746,3221
0,790227638568808452,3619
9372,789986466051088384,2344
0,789960241177853952,4174
10469,789903600034189313,4192
7582,789628658055020548,1791
6857,789599242079838210,1953
11871,789530877013393408,3419
8762,789314372632018944,2323
0,789280767834746880,5004
9217,789268448748703744,2637
9834,789137962068021249,2828
27757,788908386943430656,12635
27651,788765914992902144,10446
0,788552643979468800,7268
15729,788412144018661376,5335
7308,788178268662984705,2121
6194,788150585577050112,1303
0,788070120937619456,3468
6200,788039637453406209,1338
8723,787810552592695296,3087
10377,787717603741622272,2809
11022,787397959788929025,2880
7868,787322443945877504,1762
0,787111942498508800,6833
26926,786963064373534720,8067
0,786729988674449408,2451
18434,786709082849828864,6185
10716,786664955043049472,2589
9552,786595970293370880,3156
11001,786363235746385920,3545
8058,786286427768250368,2875
15421,786233965241827333,4788
1437,786051337297522688,156
0,786036967502913536,7089
11512,785927819176054784,3226
6765,785872687017132033,1832
7927,785639753186217984,2263
9221,785533386513321988,2018
6185,785515384317313025,1277
7334,785264754247995392,1652
12160,785170936622350336,4883
10207,784826020293709826,3278
9063,784517518371221505,2562
5763,784431430411685888,1284
20268,784183165795655680,8135
30053,784057939640352768,11232
30333,783839966405230592,10885
7425,783821107061198850,1996
10563,783695101801398276,3248
8542,783466772167098368,2272
17045,783391753726550016,5533
0,783347506784731136,5601
29414,783334639985389568,11791
8221,783085703974514689,2222
24337,782969140009107456,7451
7536,782747134529531904,1422
17423,782722598790725632,5442
7864,782598640137187329,1888
16792,782305867769217024,5616
0,782021823840026624,6255
11220,781955203444699136,3402
10513,781661882474196992,2737
4025,781655249211752448,1140
20906,781524693396357120,5607
7197,781308096455073793,2572
8512,781251288990355457,2094
9886,781163403222056960,2768
21797,780931614150983680,7382
7242,780858289093574656,2031
5523,780800785462489090,1312
12205,780601303617732608,3372
6352,780543529827336192,1753
0,780496263422808064,3717
0,780476555013349377,114
5342,780459368902959104,1085
8777,780192070812196864,2253
0,780092040432480260,2313
12274,780074436359819264,5011
19039,779834332596887552,7089
8863,779377524342161408,3129
0,779124354206535695,18414
14864,779056095788752897,4568
20108,778990705243029504,7246
0,778774459159379968,9960
873,778764940568104960,365
6938,778748913645780993,1322
5810,778650543019483137,1509
4666,778624900596654080,1015
13710,778408200802557953,4354
0,778396591732486144,12306
5880,778383385161035776,1108
10435,778286810187399168,3313
8564,778039087836069888,2663
6588,778027034220126208,1624
0,777953400541634568,3549
6381,777885040357281792,1636
11290,777684233540206592,2954
0,777641927919427584,4247
8795,777621514455814149,2513
14357,777189768882946048,4326
0,776819012571455488,13758
4910,776813020089548800,1212
8872,776477788987613185,2797
0,776249906839351296,9180
30048,776218204058357768,15954
9667,776201521193218049,2529
11834,776113305656188928,4384
1854,776088319444877312,151
0,775898661951791106,16601
11764,775842724423557120,2667
13939,775733305207554048,4004
13059,775729183532220416,4620
7438,775364825476165632,2986
10213,775350846108426240,3927
15623,775085132600442880,4758
8643,774757898236878852,1794
6765,774639387460112384,1740
21869,774314403806253056,5548
10769,773985732834758656,3878
6430,773922284943896577,1755
6630,773704687002451968,1636
5377,773670353721753600,1314
22200,773547596996571136,6190
0,773336787167145985,5100
23394,773308824254029826,7501
9507,773247561583001600,3265
10044,773191612633579521,4149
8589,772877495989305348,3888
8098,772826264096874500,2357
0,772615324260794368,3392
6528,772581559778025472,1701
6065,772193107915964416,1396
3816,772152991789019136,1134
3794,772117678702071809,743
2737,772114945936949249,470
4013,772102971039580160,946
6614,771908950375665664,1912
12046,771770456517009408,3390
8291,771500966810099713,2620
10516,771380798096281600,5100
0,771171053431250945,7483
9187,771136648247640064,2931
6261,771102124360998913,1447
6886,771014301343748096,1665
4937,770787852854652928,1203
5187,770772759874076672,1419
7362,770655142660169732,1772
6342,770414278348247044,2102
6264,770293558247038976,1479
0,770093767776997377,3060
7618,770069151037685760,2305
31422,769940425801170949,9593
6430,769695466921623552,1688
0,769335591808995329,7748
5406,769212283578875904,1725
14390,768970937022709760,6526
0,768909767477751808,2677
4209,768855141948723200,891
4133,768609597686943744,1205
5048,768596291618299904,1287
0,768554158521745409,5858
13653,768473857036525572,3436
10887,768193404517830656,3549
4748,767884188863397888,1384
16033,767754930266464257,5402
7514,767500508068192258,2341
12337,767191397493538821,3766
10194,767122157629476866,2860
0,766864461642756096,5636
